DMU,Month,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Hour0,Hour1,Hour2,Hour3,Hour4,Hour5,Hour6,Hour7,Hour8,Hour9,Hour10,Hour11,Hour12,Hour13,Hour14,Hour15,Hour16,Hour17,Hour18,Hour19,Hour20,Hour21,Hour22,Hour23,Authors,Topics,Asent_Sentiment,Textblob_Sentiment,Textblob_Subjectivity,Engagement,Total_Reach,Organic_Reach,Paid_Reach,Viral_Reach,Engaged_Users,Engaged_Page_Fans,Other_Engaged_Users,Fan_Reach,Consumptions,Link_Clicks,Photo_Views,Video_Plays,Other_Clicks,Total_Engagement,Likes,Comments,Shares,Total_Impressions,Organic_Impressions,Paid_Impressions,Viral_Impressions,Stories,Story_Likes,Story_Comments,Story_Shares
518,10,0,0,0,1000,0,0,0,0,0,1077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brian j. cantwell,life,1000,1077,633,2,11563,11407,0,141,172,167,5,10995,188,124,0,0,40,20,17,1,2,17366,17155,0,211,25,22,1,2
519,10,0,0,0,1401,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,michael upchurch,entertainment,1401,800,400,1,6812,6528,0,283,67,65,2,6283,50,27,0,0,21,27,21,1,5,11089,10614,0,475,31,24,2,5
520,10,0,0,0,1220,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,the associated press,nation-world,1220,1000,0,5,20794,19115,0,1518,759,689,70,18823,956,141,0,0,556,130,84,41,5,32962,30822,0,2140,156,86,65,5
521,10,0,0,0,1051,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,daniel beekman,politics,1051,1500,700,4,28246,26959,0,1418,872,763,109,26481,1037,710,0,0,206,26,17,3,6,45689,42852,0,2837,33,23,4,6
522,10,0,0,0,1000,0,0,0,1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"colin diltz, courtney riffkin",photo-video,1000,1045,151,1,7782,7743,0,51,66,62,4,7422,79,35,0,0,26,16,14,1,1,12081,12015,0,66,16,14,1,1
523,10,0,0,0,1000,0,0,0,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,the associated press,nation-world,1000,1250,333,3,11101,10662,0,498,272,245,27,10352,288,51,0,0,182,66,41,21,4,17150,16356,0,794,81,47,30,4
524,10,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,lewis kamb,education,1000,1136,454,4,37137,20773,0,16787,1452,875,577,23122,1150,429,0,0,527,501,438,13,50,59724,32185,0,27539,804,709,43,52
525,10,0,0,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,938,jerry large,seattle-news,523,938,426,1,7533,7437,0,142,56,55,1,7143,49,28,0,0,18,16,14,0,2,12183,11948,0,235,17,15,0,2
526,10,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,mike carter,seattle-news,353,400,800,13,264538,45071,204955,17418,30869,3269,27600,44257,34601,29667,0,0,2696,222,140,51,31,390708,79481,285111,26116,359,180,144,35
527,10,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,jon talton,business,1000,1000,0,1,9611,9183,0,488,74,67,7,8936,66,32,0,0,29,20,14,0,6,15642,14840,0,802,24,16,1,7
528,10,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,melissa davis,entertainment,1000,1200,200,4,13599,13225,0,473,362,341,21,12860,441,238,0,0,136,35,26,1,8,21892,21173,0,719,50,39,3,8
529,10,0,0,1273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,rick steves' europe,life,1273,1200,300,2,7725,7373,0,429,120,111,9,7202,106,73,0,0,25,36,27,1,8,12493,11827,0,666,39,29,2,8
530,10,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,paige cornwell,education,1000,1000,0,4,15428,12215,0,3216,584,411,173,11628,602,296,0,0,255,107,95,5,7,21392,17021,0,4371,111,99,5,7
532,10,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,rebekah denn,pacific-nw-magazine,1000,1000,0,2,18132,16062,0,2022,315,270,45,16221,321,214,0,0,72,69,58,1,10,29287,26063,0,3224,74,63,1,10
533,10,0,0,1322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1350,0,0,0,0,seattle times staff,life,1322,1350,650,3,6944,6577,0,338,128,124,4,6329,137,64,0,0,41,44,34,7,3,10242,9741,0,501,62,34,24,4
534,10,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,anita kumar,nation-world,1000,1000,0,2,15052,14223,0,855,258,232,26,14062,289,95,0,0,135,61,34,18,9,24958,23576,0,1382,67,39,18,10
535,10,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,875,0,0,0,0,0,benjamin woodard,nation-world,1000,875,375,3,17293,14912,0,2282,436,366,70,15104,485,269,0,0,154,64,40,9,15,27675,23793,0,3882,82,56,11,15
536,10,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,"rebecca boone, keith ridler",nation-world,1000,1000,0,3,16915,15407,0,1518,411,380,31,15315,353,202,0,0,129,136,116,3,17,26338,24042,0,2296,143,120,5,18
537,10,0,0,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,compiled by times staff,opinion,598,1000,0,2,16081,13367,0,2741,314,258,56,13679,329,244,0,0,71,8,6,1,1,25508,20863,0,4645,18,16,1,1
538,10,0,0,1571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1275,0,0,0,0,0,0,stefanie loh,sports,1571,1275,350,4,17575,16401,0,1223,624,564,60,16221,691,488,0,0,130,72,62,8,2,28422,26659,0,1763,75,63,10,2
539,10,0,0,1318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,brian melley,nation-world,1318,1500,600,7,92428,45415,3927,45143,5629,2819,2810,45514,5696,3618,1,0,1382,969,724,71,174,152367,79435,4030,68902,1255,890,180,185
540,10,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,0,0,0,0,0,0,0,bob condotta,sports,1000,1136,454,8,54285,30138,12624,11718,3913,1744,2169,30071,4109,2719,0,0,961,411,340,50,21,81789,52372,12458,16959,474,366,87,21
541,10,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250,0,0,0,0,0,0,0,0,nicole brodeur,seattle-news,1000,1250,750,5,28344,23959,0,4837,955,798,157,23992,1248,547,0,0,403,163,117,31,15,46359,38980,0,7379,214,134,65,15
542,10,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1850,0,0,0,0,0,0,0,0,alan berner,seattle-news,1500,1850,1000,2,10246,9454,0,692,155,140,15,9486,148,74,0,0,52,55,48,2,5,16024,14951,0,1073,59,51,3,5
543,10,0,0,1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,0,0,0,0,0,0,0,0,0,ángel gonzález,business,1149,1185,393,4,27798,24620,0,3113,864,737,127,25356,1097,547,0,0,355,59,44,5,10,44573,39196,0,5377,82,50,20,12
544,10,0,0,1285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,evan bush,seattle-news,1285,1175,650,6,37150,33051,665,4053,1985,1737,248,33124,2272,1615,0,0,483,87,48,5,34,61310,53961,661,6688,123,65,24,34
545,10,0,0,693,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,maxine bernstein,crime,693,1000,0,4,21166,19938,0,1438,699,635,64,19761,814,398,0,0,331,49,23,10,16,33832,31607,0,2225,80,30,32,18
546,10,0,0,1248,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,amy zipkin,business,1248,1500,500,2,11641,11442,0,268,218,213,5,11263,218,119,0,0,80,49,34,2,13,18864,18460,0,404,51,36,2,13
547,10,0,0,989,0,0,0,0,0,0,0,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,misha berson,entertainment,989,1400,900,3,16652,13074,0,3386,446,331,115,12956,411,187,0,0,171,137,100,7,30,28312,21800,0,6512,231,145,52,34
548,10,0,0,1367,0,0,0,0,0,0,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mark morical,life,1367,1300,700,2,9432,9032,0,435,136,129,7,8921,98,51,0,0,39,57,50,3,4,16166,15524,0,642,58,51,3,4
549,10,0,0,1624,0,0,0,0,0,0,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gretchen mckay,life,1624,1600,750,2,13696,12420,0,1243,292,248,44,12322,296,212,0,0,57,53,29,3,21,21705,19661,0,2044,68,42,4,22
550,10,0,0,330,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bob condotta,sports,330,1500,500,6,36072,28349,0,7145,1558,1211,347,28463,1839,689,0,0,844,219,113,77,29,59670,48559,0,11111,289,138,121,30
551,10,0,0,1000,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,seattle times staff,life,1000,1000,0,5,36339,17320,0,18600,1691,926,765,19000,1156,645,2,0,333,679,320,13,346,58878,27463,0,31415,1187,771,59,357
552,10,0,0,1220,0,0,0,0,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,the associated press,nation-world,1220,1400,366,5,27348,26108,0,1630,1076,983,93,25916,1230,646,0,0,457,111,74,19,18,45167,42772,0,2395,128,87,22,19
553,10,0,0,1363,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brian j. cantwell,life,1363,1500,1000,4,21389,17053,0,4275,733,609,124,17008,624,271,2,0,214,356,294,29,33,33877,26869,0,7008,406,327,46,33
554,10,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,martha bellisle,health,116,399,700,3,15025,13994,0,1103,333,290,43,13816,359,160,0,0,140,102,64,7,31,23549,21962,0,1587,113,66,16,31
555,10,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133,sara jean green,crime,273,1133,833,12,98605,50914,38506,10031,8507,3927,4580,50801,11324,7276,0,0,2261,174,92,58,24,158274,90391,51892,15991,288,112,152,24
556,10,0,941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1270,0,paige cornwell,education,941,1270,880,6,39738,30170,0,10411,1998,1305,693,30376,2415,1019,0,0,1048,185,151,5,29,67777,51746,0,16031,261,215,18,28
557,10,0,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,adam jude,sports,659,1000,0,5,28014,18971,0,9571,1175,744,431,19115,1152,338,0,0,600,353,309,11,33,46472,30967,0,15505,497,370,91,36
